GER,20552877,22174059,25416423,28658787,30279969,31901151,35143515,36764697,39196470,41628243,49734153,52165926,54597699,72814900,75318337,77294314,78688452,78336950,78288576,77858685,78144619,80624598,81914831,82211508,82516260,82110097,80425823
EUA,20552877,22174059,25416423,28658787,30279969,31901151,35143515,36764697,39196470,41628243,49734153,52165926,54597699,72814900,75318337,77294314,78688452,78336950,78288576,77858685,78144619,80624598,81914831,82211508,82516260,82110097,80425823
GDR,0,488114,1464342,2440570,2928684,3416798,4393026,4881140,5613311,6345482,8786052,9518223,10250394,17241000,16983000,17084000,17043000,16786000,16737000,16671000,16666000,,,,,,
FRG,0,1727514,5182542,8637570,10365084,12092598,15547626,17275140,19866411,22457682,31095252,33686523,36277794,55958000,58587000,60463000,61809000,61442000,61658000,61049000,61715000,,,,,,
GHA,4734690,4834298,5033514,5232730,5332338,5431946,5631162,5730770,5880182,6029594,6527634,6677046,6826458,6652287,7513289,8221020,9083573,10023472,10802028,12311158,13854214,15463854,17185608,18938762,20986536,23298640,25733049
GBR,14723128,15879944,18193576,20507208,21664024,22820840,25134472,26291288,28026512,29761736,35545816,37281040,39016264,52400000,54000000,55211700,56086065,56211968,56314216,56422072,56928327,57580402,58166950,58892514,59987905,61806995,63700300
GRE,2701452,2874002,3219102,3564202,3736752,3909302,4254402,4426952,4685777,4944602,5807352,6066177,6325002,8331725,8510429,8740765,8888628,9188150,9642505,9895801,10036983,10399061,10608800,10805808,10955141,11077841,11045011
GRN,25404,27388,31356,35324,37308,39292,43260,45244,48220,51196,61116,64092,67068,89869,94066,94868,93934,91437,89005,98439,98062,97198,100796,101619,102656,103930,105481
GUA,2912685,2981225,3118305,3255385,3323925,3392465,3529545,3598085,3700895,3803705,4146405,4249215,4352025,4210747,4730540,5311615,5941567,6599214,7283459,8042897,8842575,9708544,10646674,11650743,12796925,14006366,15271056
GUY,188325,202547,230991,259435,273657,287879,316323,330545,351878,373211,444321,465654,486987,571819,637845,686146,721948,754101,780153,775219,750731,748134,761861,753301,751652,746314,753091
HAI,2137300,2205782,2342746,2479710,2548192,2616674,2753638,2822120,2924843,3027566,3369976,3472699,3575422,3866159,4186640,4534234,4876560,5238245,5688836,6240329,6813348,7386975,7965553,8549200,9119178,9705029,10289210
HKG,1635925,1689315,1796095,1902875,1956265,2009655,2116435,2169825,2249910,2329995,2596945,2677030,2757115,3045605,3075605,3504600,3802700,4123600,4518000,5063100,5397900,5627600,6035400,6543700,6744100,6857100,7024200
HUN,2552742,2772828,3213000,3653172,3873258,4093344,4533516,4753602,5083731,5413860,6514290,6844419,7174548,9983967,10119835,10255815,10398489,10598677,10711122,10668095,10596487,10369341,10311238,10210971,10107146,10038188,9920362
ISL,70301,74049,81545,89041,92789,96537,104033,107781,113403,119025,137765,143387,149009,175574,188983,201488,209137,220154,228138,239511,249740,261057,268916,281205,292074,317414,320716
IND,263262728,270882858,286123118,301363378,308983508,316603638,331843898,339464028,350894223,362324418,400425068,411855263,423285458,449480608,487484535,529967317,579411513,635771734,696783517,764245202,834489322,906021106,978893217,1053050912,1126135777,1197146906,1263065852
INA,52885107,54483291,57679659,60876027,62474211,64072395,67268763,68866947,71264223,73661499,81652419,84049695,86446971,87792515,97638029,108821564,121059513,134010690,147490365,161555583,175000916,187766086,199914831,211540429,223614649,236159276,248883232
IRI,15975157,16213239,16689403,17165567,17403649,17641731,18117895,18355977,18713100,19070223,20260633,20617756,20974879,21706903,21906903,24308085,27032943,30074298,33737768,38668220,45474708,53075618,59725125,63900630,67983330,71227880,74567511
IRQ,5891353,5987619,6180151,6372683,6468949,6565215,6757747,6854013,6998412,7142811,7624141,7768540,7912939,7289761,8122199,9260682,10599845,12068168,13653356,15205501,16651807,18458187,20845893,23565413,26316609,29111417,32776571
IRL,951293,1007413,1119653,1231893,1288013,1344133,1456373,1512493,1596673,1680853,1961453,2045633,2129813,2828600,2866550,2915550,3036850,3238050,3412800,3532423,3524949,3558430,3637510,3805174,4070262,4489544,4586897
ISR,1572250,1607414,1677742,1748070,1783234,1818398,1888726,1923890,1976636,2029382,2205202,2257948,2310694,2114020,2475000,2803000,3148000,3533000,3878000,4159000,4442000,5123000,5692000,6289000,6809000,7308800,7910500
ITA,14235527,15349819,17578403,19806987,20921279,22035571,24264155,25378447,27049885,28721323,34292783,35964221,37635659,50199700,51675350,53235750,54381345,55718260,56433883,56576718,56629288,56797087,56860281,56942108,57685327,58826731,59539717
JAM,664216,697398,763762,830126,863308,896490,962854,996036,1045809,1095582,1261492,1311265,1361038,1628252,1730486,1825633,1934828,2055085,2163045,2308947,2393534,2465362,2561993,2656864,2728777,2790122,2840992
JPN,31710750,33692184,37655052,41617920,43599354,45580788,49543656,51525090,54497241,57469392,67376562,70348713,73320864,92500572,97826000,101061000,107188000,112771000,116782000,120018000,122613000,124229000,125757000,126843000,127761000,128063000,127629000
KAZ,3720906,3967206,4459806,4952406,5198706,5445006,5937606,6183906,6553356,6922806,8154306,8523756,8893206,9714260,11267329,12341412,13176584,13920105,14518924,15214051,15982510,16439095,15577894,14883626,15012985,15674000,16791425
KEN,7862620,7938036,8088868,8239700,8315116,8390532,8541364,8616780,8729904,8843028,9220108,9333232,9446356,8105440,9200157,10502245,12083188,13996704,16268990,18937738,21871442,24963953,28147734,31450483,35074931,39148416,43646629
PRK,5634334,5824278,6204166,6584054,6773998,6963942,7343830,7533774,7818690,8103606,9053326,9338242,9623158,11224176,11424176,12282419,13609982,15207771,16554746,17472140,18590138,19708323,21577982,22537336,23336681,24061097,24591599
KOR,11571625,12040553,12978409,13916265,14385193,14854121,15791977,16260905,16964297,17667689,20012329,20715721,21419113,22012374,25012374,27984155,30838302,33505406,35848523,38123775,40405956,42031247,44641540,46286503,47644736,48438292,49554112
KUW,512685,516175,523155,530135,533625,537115,544095,547585,552820,558055,575505,580740,585975,269618,425235,634897,854604,1089209,1372318,1655833,2038885,,1631740,2050741,2207939,2652340,3395556
KGZ,1224600,1270134,1361202,1452270,1497804,1543338,1634406,1679940,1748241,1816542,2044212,2112513,2180814,2172300,2495300,2818300,3088200,3358700,3617400,3916400,4218400,4515400,4628400,4898400,5104700,5318700,5607200
LAT,591887,641365,740321,839277,888755,938233,1037189,1086667,1160884,1235101,1482491,1556708,1630925,2120979,2240623,2323619,2395674,2470989,2511701,2562047,2653434,2614338,2457222,2367550,2263122,2177322,2034319
LIB,808841,848901,929021,1009141,1049201,1089261,1169381,1209441,1269531,1329621,1529921,1590011,1650101,1804926,2041207,2210959,2416735,2598354,2605293,2667220,2668585,2821862,3070960,3235366,3863267,4111047,4916404
LTU,874884,937854,1063794,1189734,1252704,1315674,1441614,1504584,1599039,1693494,2008344,2102799,2197254,2778550,2935200,3078850,3213622,3328664,3413202,3514205,3655049,3700114,3601613,3499536,3377075,3198231,2987773
LUX,109075,115553,128509,141465,147943,154421,167377,173855,183572,193289,225679,235396,245113,313970,327750,335850,346600,360731,364150,365998,373450,392175,414225,436300,458095,488650,530946
MKD,503014,533474,594394,655314,685774,716234,777154,807614,853304,898994,1051294,1096984,1142674,,1488667,1569141,1672399,1754956,1825552,1924197,1974415,1995513,1981703,2012057,2048928,2063145,2070739
MAS,5796402,5925012,6182232,6439452,6568062,6696672,6953892,7082502,7275417,7468332,8111382,8304297,8497212,8157106,9253963,10297801,11324251,12468893,13798125,15191625,17027588,19012724,21023321,23185608,25174109,27111069,29170456
MRI,296718,311052,339720,368388,382722,397056,425724,440058,461559,483060,554730,576231,597732,659351,736381,798413,852053,906507,966039,1012221,1043239,1084441,1133996,1186873,1221003,1244121,1255882
MEX,25429918,26100320,27441124,28781928,29452330,30122732,31463536,32133938,33139541,34145144,37497154,38502757,39508360,38174112,43264272,48894019,55478151,62623763,69360871,75780605,82083919,88828310,95687452,101719673,106995583,113661809,120828307
MDA,909898,968472,1085620,1202768,1261342,1319916,1437064,1495638,1583499,1671360,1964230,2052091,2139952,2544000,2774000,2960000,3131000,3284000,3396000,3536000,3660000,3706000,3667748,3639592,3603945,3570108,3559519
MGL,599359,616723,651451,686179,703543,720907,755635,772999,799045,825091,911911,937957,964003,955505,1074514,1207104,1356670,1520865,1689622,1871090,2089714,2243502,2316567,2397436,2496832,2628131,2814226
MNE,142781,152441,171761,191081,200741,210401,229721,239381,253871,268361,316661,331151,345641,462894,471894,480915,489936,498957,507978,516999,526020,535041,553083,571125,589167,607209,625251
MAR,7212405,7443563,7905879,8368195,8599353,8830511,9292827,9523985,9870722,10217459,11373249,11719986,12066723,12328532,13857142,15302947,16695003,18210754,20019847,22037610,23961820,25791494,27460603,28849621,30179285,31596855,33333789
MOZ,4516921,4638051,4880311,5122571,5243701,5364831,5607091,5728221,5909916,6091611,6697261,6878956,7060651,7388695,8030025,8756481,9595762,10632932,11848331,12853780,13002553,14071231,16248232,18067687,20312705,22846758,25676606
NAM,474814,482330,497362,512394,519910,527426,542458,549974,561248,572522,610102,621376,632650,602544,665282,737886,829441,927503,1012672,1111132,1302741,1513721,1706489,1899257,2009228,2106375,2263934
NED,3981378,4231330,4731234,5231138,5481090,5731042,6230946,6480898,6855826,7230754,8480514,8855442,9230370,11486631,12127120,12729721,13328593,13774037,14149800,14424211,14760094,15184166,15530498,15925513,16281779,16445593,16754962
AHO,3981378,4231330,4731234,5231138,5481090,5731042,6230946,6480898,6855826,7230754,8480514,8855442,9230370,11486631,12127120,12729721,13328593,13774037,14149800,14424211,14760094,15184166,15530498,15925513,16281779,16445593,16754962
NZL,964425,1015387,1117311,1219235,1270197,1321159,1423083,1474045,1550488,1626931,1881741,1958184,2034627,2371800,2585400,2748100,2903900,3110500,3112900,3227100,3283400,3531700,3732000,3857700,4087500,4259800,4408100
